loc,cbo,dit,fanIn,fanOut,lcom,noc,rfc,wmc,numberOfAttributes,numberOfAttributesInherited,numberOfMethods,numberOfMethodsInherited,numberOfPrivateAttributes,numberOfPrivateMethods,numberOfPublicAttributes,numberOfPublicMethods,numberOfVersionsUntil:,numberOfRefactoringsUntil:,numberOfAuthorsUntil:,linesAddedUntil:,maxLinesAddedUntil:,avgLinesAddedUntil:,linesRemovedUntil:,maxLinesRemovedUntil:,avgLinesRemovedUntil:,codeChurnUntil:,maxCodeChurnUntil:,avgCodeChurnUntil:,ageWithRespectTo:,weightedAgeWithRespectTo:,bug
62,13,3,1,12,36,0,53,16,2,0,9,37,1,3,0,2,35,0,7,277,50,7.9142899999999985,278,85,7.94286,-1,40,-0.028571,189.571,47.7602,1
8,8,3,8,0,1,0,2,4,2,37,2,72,1,0,1,2,23,0,7,124,39,5.3913,123,39,5.34783,1,5,0.043478,367.0,80.6912,0
23,1,1,0,1,21,0,14,7,1,0,7,0,1,0,0,7,6,0,2,17,9,2.83333,17,9,2.83333,0,1,0.0,104.857,40.4622,0
116,7,1,1,6,6,0,25,13,4,0,4,0,4,0,0,3,17,0,3,63,16,3.705880000000001,85,41,5.0,-22,4,-1.2941200000000002,50.2857,14.9773,0
81,6,2,2,4,45,0,53,26,2,0,10,39,2,0,0,9,9,0,5,284,257,31.5556,274,257,30.4444,10,10,1.11111,151.0,121.497,0
36,1,1,0,1,36,0,17,11,5,0,9,0,5,0,0,8,3,0,3,8,8,2.66667,5,5,1.66667,3,3,1.0,39.5714,13.0,0
10,2,6,0,2,3,0,6,3,0,0,3,20,0,0,0,3,2,1,2,2,2,1.0,2,2,1.0,0,0,0.0,95.5714,58.5714,0
644,24,1,11,14,666,0,305,168,1,0,37,6,1,23,0,13,5,0,3,347,236,69.4,310,241,62.0,37,38,7.4,183.857,102.326,0
9,2,1,1,1,1,0,3,2,2,0,2,9,2,1,0,1,1,0,1,0,0,0.0,0,0,0.0,0,0,0.0,14.0,0.0,1
10,2,1,1,1,0,0,9,5,0,0,1,6,0,0,0,1,20,1,6,179,54,8.95,324,138,16.2,-145,45,-7.25,233.143,83.8404,0
25,6,1,1,5,10,0,16,6,1,0,5,0,1,1,0,4,17,0,8,97,29,5.7058800000000005,91,27,5.35294,6,6,0.352941,335.286,136.047,0
34,8,1,7,1,45,0,12,14,4,0,10,8,0,0,4,10,30,0,6,929,78,30.9667,902,78,30.0667,27,16,0.9,367.0,30.1708,0
210,8,5,1,7,45,0,70,47,5,55,10,171,0,0,5,10,33,0,4,397,54,12.0303,280,53,8.48485,117,53,3.54545,164.71400000000003,42.6312,0
402,35,2,1,35,153,0,132,53,18,0,18,6,18,5,0,11,85,2,9,1670,342,19.6471,1336,245,15.7176,334,144,3.92941,335.286,136.951,0
56,9,2,3,6,66,3,31,14,1,1,12,32,1,0,0,10,3,0,3,13,6,4.33333,10,5,3.33333,3,2,1.0,170.143,108.923,0
41,7,1,2,5,15,4,19,15,1,0,6,0,1,0,0,1,16,0,2,113,43,7.0625,72,43,4.5,41,43,2.5625,107.857,36.9545,0
20,4,1,1,3,10,0,12,6,3,0,5,0,2,1,0,4,10,0,2,53,27,5.3,29,13,2.9,24,14,2.4,92.4286,38.9946,0
20,3,1,1,2,1,0,7,4,3,0,2,0,3,0,0,2,4,0,2,12,4,3.0,8,4,2.0,4,2,1.0,138.429,48.9524,0
747,13,2,1,13,351,0,249,291,0,4,27,44,0,0,0,2,106,0,7,2472,179,23.3208,1233,137,11.6321,1239,123,11.6887,204.71400000000003,78.6175,1
29,9,3,1,8,3,0,17,8,1,8,3,36,1,0,0,1,7,0,3,62,34,8.85714,16,6,2.28571,46,33,6.57143,128.143,110.7,1
117,6,3,1,5,136,0,61,29,9,95,17,73,5,0,0,7,45,0,7,625,230,13.8889,368,230,8.17778,257,104,5.71111,333.1430000000001,71.442,0
34,6,5,3,3,10,0,14,9,2,388,5,78,1,0,1,5,20,1,6,203,69,10.15,64,15,3.2,139,69,6.95,222.71400000000003,25.4849,0
146,11,2,5,6,55,2,53,25,10,1,11,13,0,1,0,2,7,0,3,429,207,61.2857,25,17,3.5714300000000003,404,207,57.7143,140.0,2.10589,1
638,16,2,1,15,153,0,220,113,2,133,18,46,2,1,0,2,48,0,7,900,257,18.75,407,47,8.47917,493,223,10.2708,229.0,47.8178,1
62,11,3,2,9,45,0,43,20,3,8,10,55,3,0,0,8,16,0,7,79,18,4.9375,58,15,3.625,21,17,1.3125,302.571,80.8897,0
39,6,1,2,4,28,0,23,10,4,0,8,18,4,1,0,6,10,0,6,43,13,4.3,36,9,3.6,7,7,0.7,180.143,43.7076,0
197,6,2,1,5,21,0,75,26,8,3,7,24,2,0,6,7,7,0,2,16,5,2.28571,15,5,2.14286,1,3,0.14285699999999998,92.5714,32.9464,0
121,7,2,3,4,91,0,72,35,5,5,14,13,2,1,0,13,11,0,6,80,31,7.27273,76,31,6.909089999999999,4,4,0.363636,220.143,30.9089,0
236,23,5,1,22,171,0,128,37,4,2,19,72,4,4,0,9,18,0,6,515,266,28.6111,485,289,26.9444,30,83,1.66667,335.286,117.004,0
74,8,3,3,5,36,0,38,20,6,8,9,72,5,1,1,3,4,1,2,20,10,5.0,9,6,2.25,11,9,2.75,184.857,43.2714,0
657,150,1,135,18,1830,19,209,206,102,0,61,8,7,1,2,26,112,0,10,5361,1562,47.8661,2652,1562,23.6786,2709,746,24.1875,333.1430000000001,72.771,0
66,8,2,2,6,3,0,41,6,0,2,3,39,0,0,0,3,12,0,3,164,62,13.6667,117,56,9.75,47,39,3.91667,90.5714,34.939,0
876,37,2,2,35,703,0,599,239,11,0,38,23,8,32,0,3,133,0,9,3644,368,27.3985,3241,617,24.3684,403,148,3.03008,335.286,151.622,1
68,7,1,3,4,1,0,10,4,3,0,2,0,3,0,0,2,51,3,3,187,59,3.66667,172,41,3.37255,15,18,0.294118,120.571,53.1199,1
514,11,2,1,10,465,0,195,76,15,6,31,14,15,24,0,5,92,0,8,1806,254,19.6304,1584,500,17.2174,222,162,2.41304,335.286,128.619,1
45,7,2,1,7,21,0,24,10,2,1,7,15,0,0,0,6,8,0,1,280,101,35.0,12,6,1.5,268,101,33.5,125.857,23.3423,1
55,11,3,2,10,28,0,26,15,4,6,8,32,4,1,0,7,18,0,7,150,49,8.33333,92,54,5.11111,58,42,3.22222,295.0,74.8924,0
83,10,2,0,10,21,0,37,12,12,0,7,8,8,0,0,6,9,1,5,75,44,8.33333,49,36,5.44444,26,39,2.88889,182.0,135.33,0
23,11,3,8,3,10,3,14,7,2,6,5,39,1,0,0,3,13,0,7,43,11,3.30769,29,5,2.23077,14,7,1.07692,335.286,101.947,0
8,1,9,0,1,1,0,4,2,2,4,2,176,2,0,0,2,2,0,2,8,8,4.0,9,9,4.5,-1,0,-0.5,96.0,59.8571,0
166,5,1,2,5,153,0,81,40,8,0,18,16,8,6,0,12,14,1,3,36,9,2.57143,36,9,2.57143,0,5,0.0,91.1429,28.7698,0
33,1,1,1,0,45,0,15,11,6,0,10,9,6,1,0,9,3,0,2,12,11,4.0,8,7,2.66667,4,4,1.33333,32.7143,2.2381,0
20,4,3,1,3,15,0,11,6,1,9,6,42,1,0,0,5,3,0,2,24,18,8.0,97,87,32.3333,-73,8,-24.3333,122.714,57.3929,0
12,1,2,1,0,6,0,5,4,1,0,4,22,1,0,0,1,7,0,2,26,11,3.71429,5,2,0.714286,21,10,3.0,32.7143,13.5549,0
109,3,1,1,2,325,1,41,32,9,0,26,19,3,0,0,24,23,0,2,191,66,8.30435,83,30,3.6087,108,36,4.69565,139.714,17.9963,0
26,5,1,4,1,21,0,13,7,6,0,7,15,6,0,0,7,5,0,2,15,7,3.0,9,6,1.8,6,5,1.2,32.7143,4.62857,0
42,5,7,1,4,3,0,22,14,0,397,3,124,0,0,0,3,32,0,5,219,89,6.84375,207,89,6.46875,12,11,0.375,367.0,53.9478,0
22,6,2,1,5,1,0,15,8,0,3,2,30,0,0,0,1,13,1,4,78,16,6.0,56,10,4.30769,22,10,1.6923099999999998,231.429,65.7912,0
21,5,3,1,4,1,0,8,7,2,1,2,16,2,0,0,2,8,0,3,8,1,1.0,8,1,1.0,0,0,0.0,250.143,15.6071,0
13,4,2,0,4,6,0,9,4,0,0,4,13,0,0,0,1,4,1,3,29,23,7.25,6,5,1.5,23,23,5.75,104.429,16.1872,1
65,5,4,2,3,55,2,45,21,2,7,11,78,1,0,0,8,23,0,9,189,74,8.21739,151,71,6.56522,38,18,1.65217,335.286,168.672,0
27,10,4,1,9,3,0,19,7,2,11,3,64,2,0,0,2,2,0,1,8,8,4.0,3,3,1.5,5,5,2.5,123.714,0.14285699999999998,0
30,7,1,4,4,45,1,20,8,0,0,10,8,0,0,0,9,39,0,9,544,138,13.9487,270,59,6.9230800000000015,274,89,7.025639999999999,236.0,29.5176,0
63,12,1,5,7,6,0,52,21,3,0,4,29,3,1,0,3,1,0,1,0,0,0.0,0,0,0.0,0,0,0.0,2.71429,0.0,0
33,5,1,5,0,66,0,12,11,6,0,12,18,6,0,0,12,8,0,2,11,5,1.375,9,4,1.125,2,4,0.25,110.714,59.3766,0
91,14,5,1,13,45,0,39,13,5,13,10,80,0,1,0,7,3,1,2,36,32,12.0,63,61,21.0,-27,2,-9.0,95.5714,57.8571,0
3,2,1,2,0,0,0,1,1,0,0,1,27,0,0,0,1,1,0,1,1,1,1.0,1,1,1.0,0,0,0.0,46.8571,0.0,0
234,29,3,1,29,190,0,191,58,5,0,20,37,4,12,0,3,60,0,8,877,130,14.6167,790,138,13.1667,87,63,1.45,227.429,90.7566,0
189,15,2,0,15,36,0,62,17,7,4,9,12,6,6,0,1,26,1,3,445,278,17.1154,414,283,15.9231,31,278,1.19231,103.571,4.49567,0
258,26,1,5,26,120,0,98,26,20,0,16,10,14,2,0,7,63,1,3,568,72,9.01587,460,88,7.301589999999999,108,61,1.71429,135.429,71.7452,1
15,1,1,1,0,6,0,6,4,2,0,4,0,1,0,0,4,3,0,2,5,4,1.66667,2,1,0.666667,3,3,1.0,43.5714,20.5143,0
187,4,2,0,4,15,0,21,14,4,0,6,32,4,4,0,2,14,0,2,53,13,3.78571,37,9,2.64286,16,7,1.14286,57.2857,22.3315,1
7,1,3,1,0,1,0,2,2,1,37,2,72,0,0,1,2,7,0,5,11,4,1.57143,8,4,1.14286,3,3,0.428571,264.857,94.5714,1
952,22,2,1,22,1653,0,361,271,16,6,58,67,12,1,1,57,166,0,11,4331,668,26.0904,2972,616,17.9036,1359,119,8.18675,333.1430000000001,147.972,1
343,18,2,1,17,190,0,199,108,4,0,20,12,4,12,0,5,101,0,7,1457,263,14.4257,811,103,8.0297,646,247,6.39604,313.571,150.749,0
9,2,2,1,1,6,0,5,3,0,0,4,22,0,0,0,1,1,0,1,0,0,0.0,0,0,0.0,0,0,0.0,7.1428600000000015,0.0,0
11,1,2,0,1,3,0,5,3,0,0,3,6,0,0,0,3,3,0,3,16,15,5.33333,15,14,5.0,1,1,0.333333,133.571,91.7232,0
45,3,2,1,2,21,0,29,13,0,0,7,45,0,3,0,3,3,1,1,17,9,5.66667,16,8,5.33333,1,1,0.333333,103.714,5.52101,0
58,6,1,4,2,105,0,21,17,6,0,15,16,5,0,1,15,8,1,3,86,43,10.75,13,6,1.625,73,42,9.125,184.857,60.8671,0
32,8,1,1,7,1,0,15,4,1,0,2,10,0,0,1,2,7,0,4,50,23,7.1428600000000015,48,27,6.8571399999999985,2,15,0.285714,136.571,30.3743,0
48,4,2,1,3,36,0,25,12,3,3,9,27,2,0,0,0,3,0,1,2,1,0.666667,2,1,0.666667,0,0,0.0,168.857,56.0,0
11,27,1,27,0,3,0,3,3,13,0,3,15,2,0,0,3,18,0,4,526,140,29.2222,449,144,24.9444,77,33,4.27778,239.143,77.5598,1
107,10,1,1,10,36,0,78,39,2,0,9,0,2,0,0,9,8,0,1,89,33,11.125,41,17,5.125,48,30,6.0,162.143,79.3034,0
295,17,2,4,14,190,2,101,54,10,2,20,58,7,0,0,9,10,1,3,232,65,23.2,23,10,2.3,209,62,20.9,54.8571,26.8972,1
7,4,1,2,2,1,0,4,2,2,0,2,10,2,0,0,2,1,0,1,1,1,1.0,1,1,1.0,0,0,0.0,205.143,0.0,0
137,6,3,2,5,171,0,72,38,10,95,19,73,6,0,0,9,46,0,8,830,189,18.0435,431,189,9.36956,399,91,8.673910000000001,333.1430000000001,99.3661,0
106,5,3,1,4,15,0,36,23,0,8,6,28,0,0,0,2,17,0,2,194,97,11.4118,174,97,10.2353,20,97,1.17647,119.0,24.3859,0
156,21,2,11,10,190,0,82,37,6,7,20,23,6,1,0,19,11,0,5,460,146,41.8182,36,24,3.27273,424,146,38.5455,151.143,29.0764,0
548,58,4,13,48,780,0,328,150,7,5,40,78,7,9,0,15,87,0,8,1353,182,15.5517,955,238,10.977,398,91,4.57471,227.429,85.47200000000002,0
29,6,1,3,3,15,3,15,7,1,0,6,30,0,0,0,5,3,0,3,9,9,3.0,16,9,5.33333,-7,0,-2.33333,111.0,74.8571,0
84,10,1,10,0,378,2,28,28,14,0,28,16,14,0,0,28,17,0,6,122,30,7.17647,72,27,4.23529,50,11,2.94118,239.0,113.299,0
303,12,4,1,11,1891,0,144,86,12,6,62,82,11,0,0,62,1,0,1,0,0,0.0,0,0,0.0,0,0,0.0,6.42857,0.0,0
9,4,1,3,1,1,0,3,2,2,0,2,9,2,1,0,1,2,0,1,1,1,0.5,1,1,0.5,0,0,0.0,19.8571,2.0,1
233,4,1,2,2,21,0,32,24,12,14,7,8,0,1,12,6,76,0,8,1158,300,15.2368,1252,370,16.4737,-94,23,-1.23684,367.0,66.1541,0
58,7,1,1,6,10,0,31,8,8,1,5,65,6,0,0,4,4,0,1,71,31,17.75,12,6,3.0,59,27,14.75,88.7143,0.573441,0
3,0,1,0,0,0,0,2,1,3,0,1,0,1,0,2,1,3,0,1,31,31,10.3333,31,31,10.3333,0,31,0.0,19.1429,5.14286,0
25,7,1,6,1,10,0,10,5,2,0,5,9,2,0,0,5,1,0,1,1,1,1.0,1,1,1.0,0,0,0.0,62.7143,0.0,0
49,4,2,1,3,28,0,21,14,7,0,8,26,7,0,0,8,11,0,4,42,9,3.81818,42,9,3.81818,0,0,0.0,322.714,36.2279,0
347,8,2,4,4,780,0,105,100,49,20,40,25,22,0,0,39,51,0,10,2071,317,40.6078,224,30,4.39216,1847,315,36.2157,219.857,80.7057,1
34,7,5,5,2,45,2,13,9,3,8,10,37,0,0,0,7,29,0,6,365,100,12.5862,343,100,11.8276,22,50,0.758621,367.0,113.877,0
26,1,1,1,0,10,0,11,9,2,0,5,0,0,0,2,4,2,0,2,4,4,2.0,7,7,3.5,-3,0,-1.5,56.1429,22.0,0
13,1,6,1,0,10,0,5,4,1,11,5,47,1,0,0,4,4,0,2,6,4,1.5,6,4,1.5,0,0,0.0,184.571,31.7143,0
31,8,2,5,3,28,0,18,10,3,0,8,36,3,1,0,6,6,0,2,44,35,7.33333,8,5,1.33333,36,35,6.0,32.7143,22.5682,0
59,6,6,1,5,3,0,24,15,0,394,3,102,0,0,0,3,38,0,5,276,77,7.263160000000001,237,77,6.23684,39,15,1.02632,367.0,99.7935,0
45,5,2,1,4,28,0,26,19,2,9,8,10,2,1,0,5,9,0,5,52,15,5.77778,25,9,2.77778,27,8,3.0,239.143,42.8819,1
142,5,2,2,3,10,0,54,29,0,1,5,17,0,1,0,3,21,1,2,164,38,7.80952,137,38,6.52381,27,15,1.28571,92.4286,40.6185,0
27,3,6,1,2,28,0,13,8,1,110,8,411,1,0,0,8,9,0,2,120,90,13.3333,123,90,13.6667,-3,90,-0.333333,59.2857,0.8452379999999999,0
90,8,1,5,3,3,0,29,24,5,0,3,27,0,0,3,2,4,0,3,8,6,2.0,12,6,3.0,-4,0,-1.0,264.857,220.83900000000003,0
21,4,1,1,3,1,0,16,2,6,0,2,9,3,0,0,2,2,0,2,4,3,2.0,4,3,2.0,0,0,0.0,7.0,2.25,0
0,1,4,1,0,0,0,1,0,0,7,1,28,0,0,0,1,10,0,6,16,5,1.6,28,18,2.8,-12,5,-1.2,271.0,86.4107,0
219,9,1,3,6,276,3,112,51,4,0,24,22,4,1,0,17,8,1,1,118,39,14.75,92,36,11.5,26,16,3.25,103.714,3.81114,0
112,8,2,1,7,21,0,42,36,0,0,7,29,0,3,0,2,14,0,5,174,45,12.4286,185,58,13.2143,-11,28,-0.785714,302.571,72.6289,0
54,2,5,0,2,36,1,20,16,9,61,9,49,3,0,1,5,100,0,7,4966,645,49.66,5428,645,54.28,-462,55,-4.62,367.0,46.5549,1
101,9,4,1,8,78,0,40,25,1,398,13,56,0,0,1,13,49,0,6,506,137,10.3265,498,137,10.1633,8,13,0.16326500000000002,367.0,51.083,1
3,0,1,0,0,0,0,1,1,0,0,1,28,0,0,0,1,4,0,3,97,79,24.25,88,79,22.0,9,7,2.25,121.571,84.5449,0
110,18,2,1,18,28,0,106,29,1,0,8,42,1,0,0,8,23,0,2,211,76,9.17391,105,33,4.56522,106,69,4.6087,47.1429,6.889639999999999,1
132,4,1,3,1,210,0,48,31,3,0,21,0,3,1,0,18,2,0,1,2,2,1.0,1,1,0.5,1,1,0.5,4.0,0.14285699999999998,1
0,0,1,0,0,0,1,0,0,4,0,0,9,0,0,3,0,1,1,1,1,1,1.0,1,1,1.0,0,0,0.0,11.7143,0.0,0
469,18,1,2,17,55,0,159,108,8,0,11,8,0,5,8,6,15,0,2,120,27,8.0,48,20,3.2,72,26,4.8,105.0,60.5952,1
54,6,1,1,5,28,1,26,17,8,0,8,0,1,0,0,2,5,0,2,29,11,5.8,18,9,3.6,11,6,2.2,46.0,12.931,0
16,3,1,1,2,3,0,9,3,1,0,3,0,1,0,0,2,9,0,4,36,10,4.0,46,24,5.11111,-10,10,-1.11111,135.0,43.4921,0
80,4,2,1,3,3,0,19,15,0,1,3,17,0,1,0,1,11,1,2,28,10,2.54545,25,7,2.27273,3,5,0.272727,92.4286,37.1173,0
15,3,1,0,3,1,0,10,2,2,0,2,9,2,0,0,2,4,0,1,0,0,0.0,0,0,0.0,0,0,0.0,154.143,0.0,0
54,11,2,0,11,3,0,27,19,5,0,3,15,5,0,0,2,13,1,7,156,52,12.0,116,60,8.92308,40,23,3.07692,239.143,77.5147,1
376,7,1,1,6,325,0,191,100,19,34,26,30,16,1,3,24,2,0,2,7,7,3.5,7,7,3.5,0,0,0.0,106.0,69.8571,1
32,1,1,0,1,36,0,10,10,1,0,9,0,1,0,0,9,7,0,2,12,4,1.71429,25,13,3.5714300000000003,-13,0,-1.85714,93.7143,31.131,0
22,5,3,1,4,3,0,10,5,1,1,3,24,1,0,0,3,4,0,2,3,2,0.75,4,2,1.0,-1,0,-0.25,78.2857,28.4762,0
40,13,1,12,1,6,0,8,4,0,0,4,8,0,0,0,4,18,0,4,246,75,13.6667,254,75,14.1111,-8,9,-0.444444,367.0,53.8084,0
3,1,3,0,1,0,0,2,1,0,0,1,14,0,0,0,0,1,0,1,0,0,0.0,0,0,0.0,0,0,0.0,16.4286,0.0,0
60,9,1,2,7,21,0,25,13,6,0,7,9,2,1,0,6,2,0,1,42,41,21.0,5,4,2.5,37,37,18.5,62.7143,22.3129,0
370,12,2,2,10,153,0,110,75,10,9,18,10,8,13,2,5,88,0,10,1783,180,20.2614,1339,161,15.2159,444,160,5.04545,261.571,109.425,0
22,3,1,0,3,10,0,12,11,1,0,5,12,1,0,0,5,4,1,2,45,23,11.25,6,5,1.5,39,23,9.75,145.0,10.4,0
40,3,1,1,2,36,0,18,13,2,0,9,11,2,0,0,8,9,0,6,72,37,8.0,42,12,4.66667,30,25,3.33333,294.143,101.081,0
21,2,1,0,2,6,0,10,5,1,0,4,9,1,0,0,4,3,0,2,5,4,1.66667,2,1,0.666667,3,3,1.0,39.5714,16.5143,1
98,9,1,2,7,6,0,36,22,2,0,4,7,2,0,0,3,10,0,5,175,131,17.5,222,174,22.2,-47,6,-4.7,239.143,9.99592,0
240,13,5,1,12,153,0,108,26,2,13,18,80,0,7,0,9,7,1,4,137,130,19.5714,137,133,19.5714,0,3,0.0,95.5714,56.7842,0
44,5,4,2,3,15,0,19,14,3,9,6,91,3,0,0,5,23,0,7,117,12,5.08696,129,34,5.6087,-12,10,-0.5217390000000001,258.857,120.578,0
1384,12,2,3,9,3828,2,340,283,25,402,88,8,0,0,3,24,113,0,8,3649,1009,32.292,2677,1009,23.6903,972,271,8.60177,367.0,85.3402,0
86,4,2,1,3,28,0,34,16,8,0,8,24,0,0,0,7,2,0,1,2,1,1.0,2,1,1.0,0,0,0.0,179.28599999999997,15.2143,0
712,57,1,32,31,1953,2,295,142,7,9,63,30,0,2,0,27,67,2,5,789,93,11.7761,905,230,13.5075,-116,89,-1.73134,218.71400000000003,63.453,1
30,13,2,9,4,28,9,18,10,2,0,8,11,2,0,0,5,5,1,3,8,4,1.6,9,6,1.8,-1,1,-0.2,144.857,94.2143,0
47,3,1,0,3,3,0,21,10,5,0,3,9,0,2,5,1,7,0,2,47,17,6.714289999999999,7,3,1.0,40,17,5.71429,45.8571,21.9787,0
25,3,2,0,3,3,0,11,5,27,0,3,15,27,1,0,2,3,0,3,4,3,1.33333,4,2,1.33333,0,1,0.0,180.286,131.893,0
29,4,1,2,2,3,0,6,6,7,0,3,9,1,0,6,3,1,1,1,1,1,1.0,1,1,1.0,0,0,0.0,11.7143,0.0,0
12,2,1,2,0,0,0,4,2,3,0,1,9,1,0,0,1,2,0,2,3,3,1.5,3,3,1.5,0,0,0.0,26.5714,6.714289999999999,0
37,7,3,1,6,6,1,20,8,2,4,4,43,1,0,0,4,5,0,2,31,22,6.2,9,7,1.8,22,22,4.4,32.7143,17.2903,0
